### Footprint positions - created on 2025-07-01T00:37:46-0500 ###
### Printed by KiCad version 9.0.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                          Package                                                    PosX       PosY       Rot  Side
C1        10pF                         C_0402_1005Metric                                      168.0000   -84.8000   90.0000  top
C2        10pF                         C_0402_1005Metric                                      168.0000   -86.7000  -90.0000  top
C3        2pF                          C_0402_1005Metric                                      167.2000   -90.2200  -90.0000  top
C4        2pF                          C_0402_1005Metric                                      167.2000   -92.1800   90.0000  top
C5        0.1uF                        C_0402_1005Metric                                      143.7000   -75.7000    0.0000  top
C6        10nF                         C_0402_1005Metric                                      136.1000   -86.3000    0.0000  top
C7        220uF                        CP_EIA-3528-21_Kemet-B                                 127.4800   -86.9900  -90.0000  top
C8        2.2uF                        C_0402_1005Metric                                      145.0000   -92.9500  -90.0000  top
C9        2.2uF                        C_0402_1005Metric                                      149.2500   -78.1800   90.0000  top
C10       100nF                        C_0402_1005Metric                                      147.7500   -78.6000    0.0000  top
C11       100nF                        C_0402_1005Metric                                      159.7000   -97.3000  180.0000  top
C12       100nF                        C_0402_1005Metric                                      138.5000   -96.9000  -90.0000  top
C13       100nF                        C_0402_1005Metric                                      164.5000   -82.5000    0.0000  top
C14       100nF                        C_0402_1005Metric                                      146.2000   -95.5000  -90.0000  top
C15       4.7uF                        C_0603_1608Metric                                      139.7000   -71.6750   90.0000  top
C16       4.7uF                        C_0805_2012Metric                                      133.3000   -96.1000  180.0000  top
C17       10uF                         C_0603_1608Metric                                      128.9000   -73.2000   90.0000  top
C18       10uF                         C_0603_1608Metric                                      128.9000   -76.4000   90.0000  top
C19       100nF                        C_0402_1005Metric                                      162.7000   -95.0000    0.0000  top
C20       4.7uF                        C_0603_1608Metric                                      135.8000   -69.9000    0.0000  top
C21       100nF                        C_0402_1005Metric                                      141.7200   -89.8500    0.0000  top
C22       100nF                        C_0402_1005Metric                                      156.0000   -67.5000  180.0000  top
C23       10uF                         C_0603_1608Metric                                      161.3375   -68.3000  180.0000  top
C24       10uF                         C_0603_1608Metric                                      161.3625   -77.1000  180.0000  top
C25       100nF                        C_0402_1005Metric                                      152.2500   -67.5000    0.0000  top
C26       100nF                        C_0402_1005Metric                                      145.0000   -67.7500    0.0000  top
D1        LED                          LED_0805_2012Metric                                    153.4000   -71.5000  180.0000  top
D2        LED                          LED_0805_2012Metric                                    127.2500   -70.2000    0.0000  top
D3        LED                          LED_0805_2012Metric                                    153.4000   -69.2000  180.0000  top
D5        D_Schottky                   D_0603_1608Metric                                      128.0000   -79.3000    0.0000  top
D6        D_Schottky                   D_0603_1608Metric                                      137.0000   -92.5125   90.0000  top
J4        USB_C_Receptacle_USB2.0_14P  USB_C_Receptacle_GCT_USB4110                           132.3000   -64.4100  180.0000  top
L1        15uH                         L_Sumida_CDMC6D28_7.25x6.5mm                           134.4000   -81.9000  180.0000  top
Q1        NMOS                         SOT-23                                                 160.8625   -70.9000    0.0000  top
Q2        NMOS                         SOT-23                                                 160.8625   -74.5000    0.0000  top
Q3        PMOS                         SOT-23                                                 128.0000   -81.9000  180.0000  top
R1        22                           R_0402_1005Metric                                      163.8000   -97.3000    0.0000  top
R2        22                           R_0402_1005Metric                                      148.3000   -97.3000    0.0000  top
R3        22                           R_0402_1005Metric                                      151.7000   -97.3000  180.0000  top
R4        100                          R_0402_1005Metric                                      126.2500   -72.2500   90.0000  top
R5        100                          R_0402_1005Metric                                      151.0000   -69.7000   90.0000  top
R6        150                          R_0402_1005Metric                                      151.0000   -72.6000   90.0000  top
R8        10k                          R_0402_1005Metric                                      132.0000   -86.2000  180.0000  top
R9        5.1k                         R_0402_1005Metric                                      133.3000   -69.8000  180.0000  top
R10       5.1k                         R_0402_1005Metric                                      131.3000   -69.8000  180.0000  top
R11       3.24k                        R_0402_1005Metric                                      129.9000   -88.9000  -90.0000  top
R12       10k                          R_0402_1005Metric                                      158.3000   -71.3000   90.0000  top
R13       10k                          R_0402_1005Metric                                      157.8000   -69.7000    0.0000  top
R14       10k                          R_0402_1005Metric                                      158.3000   -75.0000   90.0000  top
R15       10k                          R_0402_1005Metric                                      157.8000   -73.4000    0.0000  top
R16       10k                          R_0402_1005Metric                                      144.2000   -81.1000  -90.0000  top
SW1       NRST                         SW_TS-1088-AR02016                                     143.2000   -71.9750  -90.0000  top
U1        TPS5430DDA                   TI_SO-PowerPAD-8_ThermalVias                           133.4000   -90.6000  -90.0000  top
U2        TCAN1042DRQ1                 SOIC-8_3.9x4.9mm_P1.27mm                               141.7500   -94.1000  -90.0000  top
U3        W25Q32JVZP                   WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm                   142.2950   -85.5000  -90.0000  top
U4        AZ1117-3.3                   SOT-223-3_TabPin2                                      134.3000   -74.3000    0.0000  top
U7        STM32F722VETx                LQFP-100_14x14mm_P0.5mm                                154.2000   -87.9000  180.0000  top
X1        8MHz                         Crystal_SMD_3225-2Pin_3.2x2.5mm                        165.7250   -85.8000   90.0000  top
X2        32.768KHz                    Crystal_SMD_3215-2Pin_3.2x1.5mm                        165.5000   -91.2000   90.0000  top
## End
