Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,4.3pF,CL05C100JB5NNNC
"C10, C11, C12, C13, C14, C19, C21, C22, C25, C26, C27",0402,11,100nF,CL05B104KO5NNNC
"C15, C20",0603,2,4.7uF,CL10A475KO8NNNC
C16,0805,1,4.7uF,CL21A475KAQNNNE
"C17, C18, C23, C24",0603,4,10uF,CL10A106MA8NRNC
"C3, C4",0402,2,2pF,0402CG2R0C500NT
C5,0402,1,0.1uF,CL05B104KO5NNNC
C6,0402,1,10nF,CL05B103KB5NNNC
C7,CP_EIA-3528-21_Kemet-B,1,220uF,
"C8, C9",0402,2,2.2uF,CL05A225MQ5NSNC
D1,0805,1,LED,KT-0805G
D2,0805,1,LED,NCD0805R1
D3,0805,1,LED,KT-0805W
"D5, D6",0603,2,D_Schottky,SD0603S040S0R2
"J1, J2, J3",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,3,Conn_01x04,SM04B-SRSS-TB(LF)(SN)
J4,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_14P,TYPEC-304YSSW-ACP16
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
L1,L_Sumida_CDMC6D28_7.25x6.5mm,1,15uH, CYA0650-15UH
"Q1, Q2",SOT-23,2,NMOS, SI2301CDS-T1-GE3
Q3,SOT-23,1,PMOS, AO3401A
"R10, R9",0402,2,5.1k,0402WGF5101TCE
R11,0402,1,3.24k, 0402WGF3241TCE
"R12, R13, R14, R15, R17, R8",0402,6,10k, 0402WGF1002TCE
R16,0402,1,10k,
R18,0402,1,100k, 0402WGF1002TCE
"R4, R5",0402,2,100,0402WGF1000TCE
R6,0402,1,150,0402WGF1500TCE
SW1,SW_TS-1088-AR02016,1,NRST,TS-1088-AR02016
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D0.5mm,20,TestPoint_Small,
U1,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,TPS5430DDAR
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN1042DRQ1,https://jlcpcb.com/partdetail/TexasInstruments-TCAN1042VDRQ1/C485806
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q32JVZP,W25Q32JVZPIQ
U4,SOT-223-3_TabPin2,1,AZ1117-3.3,AMS1117-3.3
U7,LQFP-100_14x14mm_P0.5mm,1,STM32F722VETx,STM32F722VET6
X1,Crystal_SMD_3225-2Pin_3.2x2.5mm,1,8MHz, NX3225GD-8MHZ-STD-CRA-3
X2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,NX3215SA-32.768K-STD-MUA-14
